,cord_uid,cluster
0,ug7v899j,6
1,02tnwd4m,2
2,ejv2xln0,2
3,2b73a28n,2
4,9785vg6d,2
5,zjufx4fo,2
6,5yhe786e,4
7,8zchiykl,4
8,8qnrcgnk,2
9,jg13scgo,3
10,5tkvsudh,2
11,6lvn10f4,2
12,tvxpckxo,2
13,mcuixluu,2
14,6iu1dtyl,1
15,t35n7bk9,2
16,eiqypt0m,6
17,sgmk96vr,3
18,di0fcy0j,2
19,4k8f7ou1,2
20,wnnsmx60,3
21,gdsfkw1b,2
22,yba7mdtb,2
23,bbvxu8op,2
24,e62cfqt7,2
25,4cvy9u28,4
26,zowp10ts,2
27,5dk231qs,2
28,snqdma0s,2
29,1pq6dkl5,2
30,754nln40,2
31,p34ezktf,3
32,l3z27806,3
33,yz2wbpuu,3
34,kvhoa2se,2
35,cgl34ykt,2
36,ajlctjeb,2
37,cl9gpt9w,2
38,t40ybhgb,2
39,zwbc7nnn,2
40,1r65yam5,2
41,oa4lzkru,1
42,qva0jt86,6
43,vw8xjo9t,1
44,bnnl700a,3
45,m71xkuo9,2
46,s64v656n,3
47,oluq7v0h,2
48,tw6wusxe,3
49,58czem0j,3
50,x7wg7e9s,2
51,utglk4af,6
52,i5fcedbo,5
53,bjjft7ut,1
54,urk7fe34,5
55,1a3sy8ja,5
56,u09rn09u,5
57,kvztcwu2,5
58,9r62ffew,2
59,d3cko4j2,2
60,hwlvk68z,6
61,w5fxen70,3
62,mq6bterc,6
63,yxhk1qm3,6
64,bpnfupzv,1
65,j3p1u80n,2
66,5eqdrd52,2
67,p5jtwb3l,2
68,c5hrdrtu,2
69,pk7pnmlo,3
70,nhb4o6ty,2
71,xgwbl8em,2
72,69gftii4,2
73,vefs1h6o,2
74,1ypgij14,2
75,1axxmq84,2
76,cxzlmfst,2
77,br2p09pg,2
78,kt9pmfdr,2
79,5fl0rk90,3
80,kuf3ssdb,4
81,rr2wwvue,2
82,1n0rg5vd,3
83,nzh87aux,3
84,1y5nej0m,2
85,fvfjz7al,3
86,lntn11a9,6
87,nzk8m912,6
88,ps3mnpzq,2
89,m56agj4z,2
90,x2zq0lnt,6
91,hf3nytb2,3
92,byp2eqhd,2
93,s4y6uxsb,2
94,9zmyojbu,2
95,4y8ghcpq,6
96,63bos83o,2
97,hqc7u9w3,3
98,87zt7lew,2
99,wgxt36jv,3
100,qbldmef1,2
101,i9arl3oi,2
102,z5klydpi,2
103,lz37rh82,2
104,n9sih438,2
105,be8rxglx,2
106,2ks9iimj,3
107,1n69h3i3,2
108,yfn8sy1m,3
109,cbl00d50,2
110,dh9n3j23,3
111,yya6w976,2
112,wm4c7rk6,2
113,9zm4per4,2
114,noscodew,2
115,kdws9vn2,2
116,gyzbzx53,2
117,l92nlegt,2
118,wnuqe66q,3
119,zzkkm496,4
120,sabz03c0,2
121,z2u5frvq,1
122,6lezilfv,2
123,7gk8uzo0,2
124,y2nhss9u,2
125,odnpx3ib,2
126,gaemgm0t,3
127,chz8luni,4
128,kfwbqp4p,6
129,mzn448zk,3
130,fite9vs8,3
131,d37u3qbd,3
132,b0oiig7g,6
133,in6w5d2y,2
134,cpz8yb16,2
135,ipwm9uob,2
136,emnln2ix,3
137,x80cs5bc,2
138,fae3sczm,2
139,1ldebnq8,2
140,x7wva1ax,2
141,397hp1yt,3
142,zurd5d64,2
143,eflxldnr,2
144,navrmhqm,2
145,22rf9kuq,3
146,fj9l8che,2
147,1dus0u4m,3
148,gnnd0zmo,2
149,xa9a5p0q,2
150,33mqfj2t,2
151,7jszm1nd,2
152,543aq9dx,3
153,nmmimc71,3
154,rzzsmuoc,2
155,8rrkf78o,2
156,iy4c7404,3
157,ze511t38,3
158,ftlb5b95,2
159,7vvj0vfs,2
160,3ib99gup,2
161,gy2b7of9,2
162,cc5thj1g,2
163,lrtt9r1h,2
164,umvrwgaw,3
165,fw6q4qpq,2
166,b8xb1f12,2
167,ujbclp35,3
168,kamvao4b,2
169,rnvh9ut8,2
170,ajafw966,6
171,5blxgsfi,3
172,yp7zhgj9,2
173,4z38v9rg,2
174,7gmtp6km,2
175,es5t9kvt,2
176,ueglfhux,2
177,wdcmb4x5,3
178,ue9azoyf,3
179,4kpkhz0o,2
180,fpsyem7x,2
181,kswby0it,2
182,dg3pfydf,4
183,r3c1b8bn,4
184,zt6i3o86,2
185,104sqoxz,2
186,h8upyzb1,2
187,3dgjv0x1,2
188,etjqaovc,6
189,prsvv6l9,2
190,seass3p0,3
191,p56v8wi1,2
192,pr9i9swk,2
193,e0ou9zjb,6
194,sswimukk,5
195,g9f6bdlp,5
196,gcjgfasj,3
197,amvlm09p,2
198,g370ygbu,1
199,hx77tpbt,2
200,oz823tw4,6
201,wtvfow2f,2
202,nv228vte,2
203,5j496cx0,2
204,6zrv687k,2
205,sasijnks,3
206,slxdonqi,2
207,uj7lyawj,6
208,qww6pe61,3
209,0wx6yoo8,5
210,av0wlbua,6
211,iar66keo,2
212,elhp6rx6,2
213,xu9llz9u,2
214,osioowtp,6
215,ciuhyhb8,6
216,928pkpv2,2
217,87yq2317,2
218,k2glr4pd,2
219,jzwcy7dr,6
220,e1sfuv1n,5
221,9mma6rva,3
222,e666nvl3,3
223,akvhi38e,3
224,ecey1cyz,2
225,cpu38ryy,4
226,87mjdccj,2
227,yp1s77ez,3
228,rl7sdzd7,2
229,tfcerilc,2
230,ftjnw3an,2
231,t7004uw2,6
232,3tt99oax,6
233,niii78fr,2
234,vg57cnqw,2
235,qrnhp1ek,2
236,pcnp1965,5
237,50wqhp04,5
238,5hwqdnx1,3
239,4tvrhpss,2
240,i55gwn3s,2
241,05ppugs7,3
242,tex6bgab,2
243,q75spbgv,6
244,6c3zb3g4,3
245,wk9oxl4n,2
246,x5lbstyr,2
247,wj7yonjw,2
248,pebc17zw,2
249,10j9cp9c,6
250,fa7s7xj5,3
251,2ygb80sc,6
252,zkudc8ww,2
253,qfb7074e,2
254,g4puurhk,6
255,ke0tkpso,2
256,d441jam3,2
257,02opdk0m,2
258,533xlisc,2
259,7s5b3lpn,2
260,d5xv2xdr,6
261,jy7j8sh0,2
262,3p81yr4n,5
263,t579ysgl,4
264,9ofqelrm,6
265,bnkbwh3w,6
266,ucn7t3sg,2
267,1xgjdhkx,2
268,wtsyzmo0,3
269,dqp4lzqs,6
270,1qo1krxv,2
271,0jj9svwj,3
272,6d9x0xbj,2
273,22veehj5,2
274,4psg0z3n,1
275,5apikyi7,3
276,vueo83vk,6
277,3gwm1c2f,2
278,ajz4ef44,2
279,utmt5sva,3
280,xjspi65a,2
281,wup6tig0,6
282,3zh8jmc2,2
283,3b8b8p61,2
284,0p8lk12m,2
285,l0uya9dh,3
286,rlbodumk,3
287,dg10rf2f,2
288,cijyfa4j,2
289,out6zg61,2
290,n4duwd0x,6
291,xsjdy3yz,3
292,d0eur1hq,6
293,f0vud3gu,2
294,ujgcsx3o,2
295,3qxun84i,6
296,kxtdv6q9,6
297,vrd89yk0,2
298,0ybn2igj,3
299,l1khrk52,1
300,duwfxeyt,2
301,qs82fva6,2
302,nn09hh29,3
303,7658dmvk,2
304,uvf5qzfd,2
305,cai6tqxq,2
306,tkxpjlyn,5
307,t74b5j2j,2
308,p4exyu56,2
309,dqqcajjd,5
310,ugbwvy6j,3
311,0pe8691t,3
312,eabho73n,3
313,e523mnz1,4
314,m2k8lf7v,2
315,ujquw0g8,3
316,idffrnac,2
317,a3tammig,6
318,0rq0wdpq,2
319,5kapn32k,2
320,yxtdqjay,3
321,oi9j5o0n,5
322,2xvd5ogf,2
323,ftxq9g7h,2
324,1rzcrkmt,3
325,ilhnluqc,3
326,gbdaad4l,6
327,mszzo4o4,2
328,dp8971im,2
329,imxe4jeo,2
330,c8snsa4z,6
331,b1h8hweh,6
332,134qz0aw,2
333,piusm60c,2
334,a7oqm956,2
335,zwgnkegf,2
336,jgxbpy4j,2
337,d08buwtu,2
338,8y8ho2x5,2
339,sbnnh2mm,2
340,hxjxczyr,6
341,zqcu10rp,3
342,hwjkbpqp,5
343,094d0rn6,2
344,stgri6y6,6
345,36bfeoqv,3
346,sk9lud0o,3
347,h3yxymh3,3
348,fmgnavfq,6
349,k58gx6sf,2
350,5l48fvx2,2
351,um0ds7dh,3
352,mxjtj5c0,2
353,mgj9zfft,6
354,u3yvpcnr,3
355,z76vjkxg,2
356,54f3q2o5,6
357,96xoj10p,2
358,67oorg1b,6
359,howix091,2
360,0tqwjdhd,3
361,ni6iyzdn,2
362,8gnn6l4b,2
363,zuvy8htp,2
364,25v5mr3c,6
365,sw4wtxdk,2
366,soi3bn6y,6
367,6wu024ng,2
368,vexwisnz,3
369,8trsa6o6,2
370,epkw6222,2
371,d2mb2b3d,2
372,o4k7auph,2
373,cwzpb8fu,2
374,ge5iri3v,1
375,lkoyrv3s,3
376,zizfgz7d,2
377,cge5uve3,5
378,q26f8pv4,2
379,y6di4ver,6
380,sboumuy9,2
381,igo8c5kb,2
382,gzxu7nkh,3
383,lfvso15k,2
384,hd12p867,2
385,sbxqwfmy,2
386,se4unhi8,2
387,a0pzw26l,2
388,th0wddvc,2
389,fec4kt20,6
390,34sy55hi,6
391,1rhy8td0,2
392,yvgzkt8a,1
393,wcyv6w47,3
394,8d4f4gmw,3
395,wg6nh1vt,4
396,sfshosp0,3
397,waf4n6u8,2
398,chd9ezba,6
399,unotv53r,1
